 -0.7318891E-08  0.0000000E+00 -0.5993129E+01
 -0.7318891E-08  0.0000000E+00 -0.5993129E+01
 -0.7318891E-08  0.0000000E+00 -0.5993129E+01
 -0.7318891E-08  0.0000000E+00 -0.5993129E+01
 -0.7318891E-08  0.0000000E+00 -0.5993129E+01
 -0.7318891E-08  0.0000000E+00 -0.5993129E+01
 -0.7318891E-08  0.0000000E+00 -0.5993129E+01
 -0.7318891E-08  0.0000000E+00 -0.5993129E+01
 -0.1707741E-07  0.0000000E+00 -0.5993129E+01
 -0.7318891E-08  0.0000000E+00 -0.5993129E+01
 -0.1707741E-07  0.0000000E+00 -0.5993129E+01
