  0.4471879E+08  0.0000000E+00 -0.1562500E+00
  0.0000000E+00  0.4471878E+08  0.0000000E+00
 -0.1562500E+00  0.0000000E+00  0.1721401E+08
  0.1859325E+08  0.0000000E+00 -0.1953125E+00
  0.0000000E+00  0.1859325E+08  0.0000000E+00
 -0.1953125E+00  0.0000000E+00  0.1721401E+08
  0.1859325E+08  0.0000000E+00 -0.1953125E+00
  0.0000000E+00  0.1859325E+08  0.0000000E+00
 -0.1953125E+00  0.0000000E+00  0.1721401E+08
  0.4471879E+08  0.0000000E+00 -0.1562500E+00
  0.0000000E+00  0.4471878E+08  0.0000000E+00
 -0.1562500E+00  0.0000000E+00  0.1721401E+08
  0.1859325E+08  0.0000000E+00 -0.1953125E+00
  0.0000000E+00  0.1859325E+08  0.0000000E+00
 -0.1953125E+00  0.0000000E+00  0.1721401E+08
  0.4471879E+08  0.0000000E+00 -0.1562500E+00
  0.0000000E+00  0.4471878E+08  0.0000000E+00
 -0.1562500E+00  0.0000000E+00  0.1721401E+08
  0.1859325E+08  0.0000000E+00 -0.1953125E+00
  0.0000000E+00  0.1859325E+08  0.0000000E+00
 -0.1953125E+00  0.0000000E+00  0.1721401E+08
  0.1859325E+08  0.0000000E+00 -0.1953125E+00
  0.0000000E+00  0.1859325E+08  0.0000000E+00
 -0.1953125E+00  0.0000000E+00  0.1721401E+08
  0.1859325E+08  0.0000000E+00  0.1170006E+08
  0.0000000E+00  0.9623880E+08  0.0000000E+00
  0.1170006E+08  0.0000000E+00  0.9485963E+08
  0.1859325E+08  0.0000000E+00 -0.1953125E+00
  0.0000000E+00  0.1859325E+08  0.0000000E+00
 -0.1953125E+00  0.0000000E+00  0.1721401E+08
  0.1859325E+08  0.0000000E+00  0.1170006E+08
  0.0000000E+00  0.9623880E+08  0.0000000E+00
  0.1170006E+08  0.0000000E+00  0.9485963E+08
