         220         209
  -0.142315E+01  -0.989822E+01  -0.645437E+01
   0.415415E+01  -0.909632E+01  -0.645437E+01
   0.841254E+01  -0.540640E+01  -0.645437E+01
   0.100000E+02   0.000000E+00  -0.771575E+01
   0.841253E+01   0.540641E+01  -0.771575E+01
   0.415415E+01   0.909632E+01  -0.771575E+01
  -0.142315E+01   0.989821E+01  -0.771575E+01
  -0.654861E+01   0.755749E+01  -0.771575E+01
  -0.959493E+01   0.281732E+01  -0.771575E+01
  -0.959493E+01  -0.281733E+01  -0.771575E+01
  -0.654861E+01  -0.755750E+01  -0.771575E+01
  -0.142315E+01  -0.989822E+01  -0.771575E+01
   0.415415E+01  -0.909632E+01  -0.771575E+01
   0.841254E+01  -0.540640E+01  -0.771575E+01
   0.100000E+02   0.000000E+00  -0.906104E+01
   0.841253E+01   0.540641E+01  -0.906104E+01
   0.415415E+01   0.909632E+01  -0.906104E+01
  -0.142315E+01   0.989821E+01  -0.906104E+01
  -0.654861E+01   0.755749E+01  -0.906104E+01
  -0.959493E+01   0.281732E+01  -0.906104E+01
  -0.959493E+01  -0.281733E+01  -0.906104E+01
  -0.654861E+01  -0.755750E+01  -0.906104E+01
  -0.142315E+01  -0.989822E+01  -0.906104E+01
   0.415415E+01  -0.909632E+01  -0.906104E+01
   0.841254E+01  -0.540640E+01  -0.906104E+01
   0.100000E+02   0.000000E+00  -0.104811E+02
   0.841253E+01   0.540641E+01  -0.104811E+02
   0.415415E+01   0.909632E+01  -0.104811E+02
  -0.142315E+01   0.989821E+01  -0.104811E+02
  -0.654861E+01   0.755749E+01  -0.104811E+02
  -0.959493E+01   0.281732E+01  -0.104811E+02
  -0.959493E+01  -0.281733E+01  -0.104811E+02
  -0.654861E+01  -0.755750E+01  -0.104811E+02
  -0.142315E+01  -0.989822E+01  -0.104811E+02
   0.415415E+01  -0.909632E+01  -0.104811E+02
   0.841254E+01  -0.540640E+01  -0.104811E+02
   0.100000E+02   0.000000E+00  -0.119661E+02
   0.841253E+01   0.540641E+01  -0.119661E+02
   0.415415E+01   0.909632E+01  -0.119661E+02
  -0.142315E+01   0.989821E+01  -0.119661E+02
  -0.654861E+01   0.755749E+01  -0.119661E+02
  -0.959493E+01   0.281732E+01  -0.119661E+02
  -0.959493E+01  -0.281733E+01  -0.119661E+02
  -0.654861E+01  -0.755750E+01  -0.119661E+02
  -0.142315E+01  -0.989822E+01  -0.119661E+02
   0.415415E+01  -0.909632E+01  -0.119661E+02
   0.841254E+01  -0.540640E+01  -0.119661E+02
   0.100000E+02   0.000000E+00  -0.135060E+02
   0.841253E+01   0.540641E+01  -0.135060E+02
   0.415415E+01   0.909632E+01  -0.135060E+02
  -0.142315E+01   0.989821E+01  -0.135060E+02
  -0.654861E+01   0.755749E+01  -0.135060E+02
  -0.959493E+01   0.281732E+01  -0.135060E+02
  -0.959493E+01  -0.281733E+01  -0.135060E+02
  -0.654861E+01  -0.755750E+01  -0.135060E+02
  -0.142315E+01  -0.989822E+01  -0.135060E+02
   0.415415E+01  -0.909632E+01  -0.135060E+02
   0.841254E+01  -0.540640E+01  -0.135060E+02
   0.100000E+02   0.000000E+00  -0.150903E+02
   0.841253E+01   0.540641E+01  -0.150903E+02
   0.415415E+01   0.909632E+01  -0.150903E+02
  -0.142315E+01   0.989821E+01  -0.150903E+02
