
   128929.141      -1.56063914       1.42986728E-02  -2.13468957       18180.7383      -2.77327871       3.91893834E-02   2.72706866       400679.938      -1.56056273       8.86928232E-04   1.70539415    
   3.48848384E-03   1.11419082       128929.047      -1.56063914       18180.7461      -2.77327871       400680.000       1.58102989       1.10304290E-02  -2.49277949       1.85597641E-03   2.31956172    
   128929.133       1.58095348       6.47728331E-03   1.75128186       18180.7383      -2.77327871       5.35577871E-02  -1.36542189       400680.250       1.58102989       4.96715773E-04  -1.66771388    
   3.61998170E-03  -1.27304113       128929.125       1.58095336       18180.7383      -2.77327847       400680.250      -1.56056261       2.96052508E-02  -1.91132402       1.79202785E-03 -0.873114467    
   128929.133      -1.56063914       3.09153274E-02  -1.84677219       18180.7383      -2.77327871      0.111177772       1.75950313       400680.000      -1.56056273       3.35895340E-04 -0.713060796    
   620063.750       1893.65796      -4.88281250E-03   1.13725664E-05   3.40576172E-02   4.10270691E-03  -1.70288086E-02   9.15527380E-06   1913285.50       5929.34570       2.31933594E-03   9.15527380E-06
  -1.89208984E-03   1.35898599E-05   620063.812       1893.65662       1.60217285E-03   3.69071968E-05  -1913285.25      -5929.35840      -5.49316406E-03  -5.72204590E-06  -1.99279785E-02   7.24196434E-05
  -1.72729492E-02   1.48315437E-03   1.32064819E-02   5.72204590E-04   292304.969       21292.7109      0.128417969       9.37500000E-02  -2.83203125E-02   1.75781257E-03   1.67846680E-04   1.37329107E-05
   2.68554688E-03  -5.03540068E-05  -1909976.00      -5913.05664      -1.33056641E-02  -6.75201445E-05   8589189.00       18514.8340       3.95507812E-02   2.08282479E-04   1.52587891E-03   1.23753550E-03
   1909977.00       5913.05859       8.17871094E-03  -2.86102306E-07 -0.104980469      -1.18240360E-02   5.12695312E-02   1.70516971E-04   8589190.00       18514.8066       1.31835938E-02  -4.29153442E-05
   3.05175781E-05  -3.27418106E-12  -1.31897926E-02  -1.65429024E-04   2.18278728E-11  -3.27418106E-12   2.84585506E-02   3.11615382E-04   1.42738631E-04   0.00000000       8169.27979       1.04845571E-03
   57187.8789       2.82684326       6.84417505E-03 -0.507531583       7470.48633      -2.73037910      0.222910911       1.70081973       300580.094       2.80913496       3.45266977E-04 -0.785398185    
   1.84907317E-02 -0.958988726       57187.9258       2.82684302       7470.48926      -2.73037744       300579.938     -0.332457989      0.125547633      0.204764530       1.24565559E-02 -0.424194396    
   57187.8477     -0.314749599       1.36782853E-02 -0.751472771       7470.48584      -2.73037910       7.33787790E-02  -1.52317643       300580.000     -0.332457989       3.33187100E-03   2.99451423    
   2.07622051E-02 -0.663492560       57187.8594     -0.314750463       7470.49121      -2.73037767       300580.000       2.80913496      0.140977010      0.425301760       1.18201952E-02  -3.05888033    
   57187.8828       2.82684374       1.92052573E-02   1.60258210       7470.48682      -2.73037910       4.05690968E-02   1.86353648       300580.156       2.80913424       2.61241873E-03  -2.22364306    
   239409.266       364080.438      -2.30693817E-03   6.10351562E-05  -7.69042969E-03   1.51062012E-03   1.37329102E-03  -1.27716064E-02   371425.844       1900981.88       7.39097595E-04   2.56347656E-03
   4.53948975E-04   7.32421875E-04   239409.141       364080.406      -2.03704834E-03   2.81333923E-04  -371426.000      -1900981.88       4.15039062E-03   5.19180298E-03   8.44001770E-05  -2.96020508E-03
  -4.11987305E-03   1.18637085E-03   5.15556335E-03   2.68459320E-04   248253.266      -20.3737717       6.40869141E-02  -3.30042839E-03  -1.46484375E-02   6.89828396E-03   0.00000000      -9.53674316E-07
  -1.19018555E-03  -2.58789062E-02  -367592.812      -1900740.00      -4.51660156E-03  -4.95910645E-05   2379513.75       9930182.00       1.00097656E-02   3.01513672E-02   3.57055664E-03   1.45263672E-02
   367592.969       1900740.00      -2.13623047E-03   2.36816406E-02  -2.63671875E-02  -2.86865234E-03  -7.32421875E-03  -1.98364258E-02   2379514.25       9930184.00      -6.71386719E-04  -1.95312500E-03
   3.81469727E-05  -6.33008312E-10   1.01757050E-03  -9.48826055E-05  -4.91127139E-11  -1.00044417E-11   4.69270535E-03   1.51520409E-03  -2.11495499E-05  -2.11548468E-09   8172.35205      -3.66377318E-03
