 VARIABLES="X" "Y" "Z" "abs(eta) (m)" "angle(phi) (rad)" "PRE1" "PRE2"
ZONE N=    220 , E =     209 , F=FEPOINT,ET=QUADRILATERAL
  0.1000000E+02  0.0000000E+00 -0.0000000E+00  0.1308441E-01 -0.2356263E+01 -0.9252713E-02 -0.9251444E-02
  0.8412530E+01  0.5406410E+01 -0.0000000E+00  0.3276499E-01 -0.1849580E+01 -0.9016497E-02 -0.3149995E-01
  0.4154150E+01  0.9096320E+01 -0.0000000E+00  0.4759188E-01 -0.1767760E+01 -0.9313359E-02 -0.4667171E-01
 -0.1423150E+01  0.9898210E+01 -0.0000000E+00  0.5084808E-01 -0.1757270E+01 -0.9426996E-02 -0.4996658E-01
 -0.6548610E+01  0.7557490E+01 -0.0000000E+00  0.4136979E-01 -0.1793678E+01 -0.9144402E-02 -0.4034649E-01
 -0.9594930E+01  0.2817320E+01 -0.0000000E+00  0.2271856E-01 -0.1979559E+01 -0.9030040E-02 -0.2084685E-01
 -0.9594930E+01 -0.2817330E+01 -0.0000000E+00  0.9971523E-02  0.2904306E+01 -0.9692115E-02  0.2343968E-02
 -0.6548610E+01 -0.7557500E+01 -0.0000000E+00  0.2442105E-01  0.2034398E+01 -0.1092042E-01  0.2184336E-01
 -0.1423150E+01 -0.9898220E+01 -0.0000000E+00  0.3358673E-01  0.1928295E+01 -0.1175309E-01  0.3146320E-01
  0.4154150E+01 -0.9096320E+01 -0.0000000E+00  0.3040708E-01  0.1956909E+01 -0.1145101E-01  0.2816850E-01
  0.8412540E+01 -0.5406400E+01 -0.0000000E+00  0.1657534E-01  0.2240331E+01 -0.1028701E-01  0.1299690E-01
  0.1000000E+02  0.0000000E+00 -0.6831050E-01  0.1307672E-01 -0.2356301E+01 -0.9247627E-02 -0.9245652E-02
  0.8412530E+01  0.5406410E+01 -0.6831050E-01  0.3273720E-01 -0.1849668E+01 -0.9011594E-02 -0.3147246E-01
  0.4154150E+01  0.9096320E+01 -0.6831050E-01  0.4754940E-01 -0.1767829E+01 -0.9308300E-02 -0.4662941E-01
 -0.1423150E+01  0.9898210E+01 -0.6831050E-01  0.5080236E-01 -0.1757338E+01 -0.9421874E-02 -0.4992102E-01
 -0.6548610E+01  0.7557490E+01 -0.6831050E-01  0.4133340E-01 -0.1793754E+01 -0.9139436E-02 -0.4031031E-01
 -0.9594930E+01  0.2817320E+01 -0.6831050E-01  0.2270091E-01 -0.1979659E+01 -0.9025108E-02 -0.2082976E-01
 -0.9594930E+01 -0.2817330E+01 -0.6831050E-01  0.9964993E-02  0.2904718E+01 -0.9686733E-02  0.2338441E-02
 -0.6548610E+01 -0.7557500E+01 -0.6831050E-01  0.2439633E-01  0.2034622E+01 -0.1091425E-01  0.2181880E-01
 -0.1423150E+01 -0.9898220E+01 -0.6831050E-01  0.3355262E-01  0.1928462E+01 -0.1174638E-01  0.3142929E-01
  0.4154150E+01 -0.9096320E+01 -0.6831050E-01  0.3037616E-01  0.1957091E+01 -0.1144450E-01  0.2813778E-01
  0.8412540E+01 -0.5406400E+01 -0.6831050E-01  0.1655927E-01  0.2240655E+01 -0.1028124E-01  0.1298097E-01
  0.1000000E+02  0.0000000E+00 -0.2727740E+00  0.1305273E-01 -0.2356328E+01 -0.9230904E-02 -0.9228450E-02
  0.8412530E+01  0.5406410E+01 -0.2727740E+00  0.3266825E-01 -0.1849754E+01 -0.8995326E-02 -0.3140539E-01
  0.4154150E+01  0.9096320E+01 -0.2727740E+00  0.4744698E-01 -0.1767898E+01 -0.9291468E-02 -0.4652832E-01
 -0.1423150E+01  0.9898210E+01 -0.2727740E+00  0.5069264E-01 -0.1757404E+01 -0.9404825E-02 -0.4981257E-01
 -0.6548610E+01  0.7557490E+01 -0.2727740E+00  0.4124503E-01 -0.1793829E+01 -0.9122928E-02 -0.4022343E-01
 -0.9594930E+01  0.2817320E+01 -0.2727740E+00  0.2265479E-01 -0.1979757E+01 -0.9008821E-02 -0.2078655E-01
 -0.9594930E+01 -0.2817330E+01 -0.2727740E+00  0.9945863E-02  0.2905162E+01 -0.9669172E-02  0.2329660E-02
 -0.6548610E+01 -0.7557500E+01 -0.2727740E+00  0.2434045E-01  0.2034855E+01 -0.1089433E-01  0.2176628E-01
 -0.1423150E+01 -0.9898220E+01 -0.2727740E+00  0.3347570E-01  0.1928635E+01 -0.1172487E-01  0.3135522E-01
  0.4154150E+01 -0.9096320E+01 -0.2727740E+00  0.3030654E-01  0.1957280E+01 -0.1142357E-01  0.2807113E-01
  0.8412540E+01 -0.5406400E+01 -0.2727740E+00  0.1652206E-01  0.2240995E+01 -0.1026254E-01  0.1294832E-01
  0.1000000E+02  0.0000000E+00 -0.6119940E+00  0.1301387E-01 -0.2356397E+01 -0.9204062E-02 -0.9200334E-02
  0.8412530E+01  0.5406410E+01 -0.6119940E+00  0.3254818E-01 -0.1849967E+01 -0.8968937E-02 -0.3128805E-01
  0.4154150E+01  0.9096320E+01 -0.6119940E+00  0.4726684E-01 -0.1768058E+01 -0.9263572E-02 -0.4635020E-01
 -0.1423150E+01  0.9898210E+01 -0.6119940E+00  0.5049930E-01 -0.1757554E+01 -0.9376409E-02 -0.4962119E-01
 -0.6548610E+01  0.7557490E+01 -0.6119940E+00  0.4109002E-01 -0.1794009E+01 -0.9095834E-02 -0.4007063E-01
 -0.9594930E+01  0.2817320E+01 -0.6119940E+00  0.2257592E-01 -0.1980006E+01 -0.8982608E-02 -0.2071195E-01
 -0.9594930E+01 -0.2817330E+01 -0.6119940E+00  0.9914027E-02  0.2906294E+01 -0.9640844E-02  0.2311288E-02
